"","X1","X2","X3","X4","X5"
"1",0.3,0,0,0,0
"2",0.3003,5.45019714652181e-16,8.71164125081854e-09,6.37829127250909e-06,0.000222870662140098
"3",0.3006,1.09003942930421e-15,1.74232825016347e-08,1.27565825450164e-05,0.000445741324280134
"4",0.3009,1.62601786048674e-15,2.58245101622246e-08,1.88694622322845e-05,0.000658698686130576
"5",0.3012,2.15295500819978e-15,3.39153242325885e-08,2.47169303343134e-05,0.000861742747691428
"6",0.3015,2.67989215591296e-15,4.20061383029547e-08,3.0564398436344e-05,0.00106478680925234
"7",0.3018,3.22667281842638e-15,4.97814243497622e-08,3.60391924302071e-05,0.00125245704696453
"8",0.3021,3.77345348093955e-15,5.7556710396566e-08,4.15139864240676e-05,0.00144012728467662
"9",0.3024,4.34775023777494e-15,6.53059163511571e-08,4.68698577829593e-05,0.00162201141852776
"10",0.3027,4.94956308893294e-15,7.30290422135419e-08,5.21068065068868e-05,0.00179810944851811
"11",0.303,5.55137594009121e-15,8.07521680759304e-08,5.7343755230817e-05,0.00197420747850855
"12",0.3033,6.24332393439893e-15,8.86566423366793e-08,6.24591277720189e-05,0.00214199544840801
"13",0.3036,6.93527192870626e-15,9.65611165974231e-08,6.75745003132174e-05,0.00230978341830736
"14",0.3039,7.69096953085064e-15,1.04663030651398e-07,7.26799046880299e-05,0.00247482452989157
"15",0.3042,8.51041674083288e-15,1.12962384498617e-07,7.77753408964651e-05,0.00263711878316091
"16",0.3045,9.32986395081554e-15,1.21261738345841e-07,8.28707771049039e-05,0.00279941303643038
"17",0.3048,1.03186656351967e-14,1.30157736307216e-07,8.80365431640207e-05,0.0029586627116136
"18",0.3051,1.13074673195773e-14,1.39053734268585e-07,9.32023092231331e-05,0.00311791238679668
"19",0.3054,1.24052552818358e-14,1.48346529848058e-07,9.84440402304481e-05,0.00327671374640049
"20",0.3057,1.36120295219737e-14,1.58036123045653e-07,0.000103761736185978,0.00343506679042544
"21",0.306,1.48188037621123e-14,1.67725716243256e-07,0.000109079432141512,0.00359341983445053
"22",0.3063,1.63013868991359e-14,1.78407069711773e-07,0.00011462425532772,0.00375277850439554
"23",0.3066,1.77839700361592e-14,1.89088423180285e-07,0.000120169078513925,0.00391213717434044
"24",0.3069,1.94393730768284e-14,2.00368030861182e-07,0.000125862814883692,0.00407285030384433
"25",0.3072,2.1267596021146e-14,2.12245892754493e-07,0.000131705464437038,0.00423491789290779
"26",0.3075,2.30958189654647e-14,2.24123754647813e-07,0.00013754811399039,0.00439698548197142
"27",0.3078,2.53547455540244e-14,2.37414385965243e-07,0.000143756406335725,0.00456330572200102
"28",0.3081,2.76136721425835e-14,2.50705017282667e-07,0.000149964698681055,0.00472962596203048
"29",0.3084,3.01400259603192e-14,2.64818255825661e-07,0.000156388971206072,0.00489878125995287
"30",0.3087,3.29338070072352e-14,2.79754101594259e-07,0.000163029223910799,0.0050707716157689
"31",0.309,3.57275880541529e-14,2.94689947362871e-07,0.000169669476615532,0.00524276197158514
"32",0.3093,3.91841053055992e-14,3.1152420165113e-07,0.000176807707820198,0.0054217418439629
"33",0.3096,4.26406225570445e-14,3.2835845593938e-07,0.000183945939024858,0.0056007217163405
"34",0.3099,4.65071327432895e-14,3.46281181015148e-07,0.000191366545791389,0.005783818996631
"35",0.3102,5.078363586434e-14,3.65292376878481e-07,0.000199069528119816,0.00597103368483523
"36",0.3105,5.50601389853929e-14,3.8430357274183e-07,0.000206772510448252,0.00615824837303971
"37",0.3108,6.03501167063599e-14,4.05800312774439e-07,0.000215108711534886,0.00635488950898131
"38",0.3111,6.56400944273255e-14,4.27297052807037e-07,0.000223444912621515,0.0065515306449227
"39",0.3114,7.15558706978716e-14,4.50208389059424e-07,0.000232133231297188,0.0067534627378631
"40",0.3117,7.80974455180072e-14,4.74534321531661e-07,0.00024117366756194,0.00696068578780346
"41",0.312,8.46390203381466e-14,4.9886025400392e-07,0.000250214103826702,0.0071679088377441
"42",0.3123,9.2725216380599e-14,5.26399392739018e-07,0.000260033129650649,0.00738684817034568
"43",0.3126,1.00811412423049e-13,5.53938531474101e-07,0.000269852155474587,0.00760578750294702
"44",0.3129,1.09850164390291e-13,5.83299342103384e-07,0.000280099693796498,0.00783114813837576
"45",0.3132,1.19841472282337e-13,6.14481824626945e-07,0.00029077574461642,0.008062930076633
"46",0.3135,1.2983278017439e-13,6.45664307150533e-07,0.000301451795436354,0.00829471201489057
"47",0.3138,1.42172533916027e-13,6.80972684731139e-07,0.000313068100331089,0.00854046622153295
"48",0.3141,1.5451228765766e-13,7.16281062311726e-07,0.000324684405225815,0.00878622042817506
"49",0.3144,1.68298760556742e-13,7.53923328406343e-07,0.000336815196153141,0.00903953227604692
"50",0.3147,1.83531952613293e-13,7.93899483015092e-07,0.000349460473113113,0.00930040176514983
"51",0.315,1.98765144669852e-13,8.33875637623877e-07,0.0003621057500731,0.00956127125425312
"52",0.3153,2.17561441119939e-13,8.79128424303945e-07,0.000375874895226262,0.00983842127426965
"53",0.3156,2.3635773757002e-13,9.24381210983987e-07,0.000389644040379413,0.0101155712942859
"54",0.3159,2.57346827060241e-13,9.72614463551087e-07,0.000404026003219377,0.0104014593011144
"55",0.3162,2.80528709590645e-13,1.0238281820054e-06,0.000419020783746219,0.010696085294757
"56",0.3165,3.03710592121059e-13,1.07504190045976e-06,0.000434015564273076,0.0109907112883999
"57",0.3168,3.32287754106601e-13,1.1329857067134e-06,0.00045034532351494,0.0113040461015567
"58",0.3171,3.60864916092134e-13,1.19092951296701e-06,0.00046667508275679,0.0116173809147132
"59",0.3174,3.92759180708791e-13,1.25267060493977e-06,0.000483731153522694,0.0119407085633025
"60",0.3177,4.27970547956619e-13,1.31820898263185e-06,0.000501513535812719,0.0122740290473262
"61",0.318,4.63181915204468e-13,1.383747360324e-06,0.000519295918102766,0.0126073495313504
"62",0.3183,5.06546957136087e-13,1.45785178150932e-06,0.000538657620085102,0.0129619826597915
"63",0.3186,5.49911999067693e-13,1.53195620269459e-06,0.000558019322067421,0.0133166157882321
"64",0.3189,5.98285197483333e-13,1.61088937193322e-06,0.000578238950363455,0.0136825966531247
"65",0.3192,6.51666552383113e-13,1.69465128922547e-06,0.000599316504973296,0.0140599252544713
"66",0.3195,7.05047907282915e-13,1.77841320651778e-06,0.000620394059583158,0.0144372538558185
"67",0.3198,7.70727778800043e-13,1.87305853203359e-06,0.0006433346584111,0.0148387220475123
"68",0.3201,8.36407650317152e-13,1.96770385754935e-06,0.000666275257239022,0.0152401902392057
"69",0.3204,9.09634239605493e-13,2.06847914126855e-06,0.000690226736368072,0.0156544835327022
"70",0.3207,9.90407546665227e-13,2.17538438319154e-06,0.000715189095798358,0.0160816019280042
"71",0.321,1.07118085372499e-12,2.2822896251146e-06,0.000740151455228671,0.0165087203233068
"72",0.3213,1.17046875130907e-12,2.40299986989741e-06,0.00076730673150624,0.01696307107116
"73",0.3216,1.26975664889311e-12,2.52371011468015e-06,0.000794462007783786,0.0174174218190125
"74",0.3219,1.38039467601445e-12,2.65218971075296e-06,0.000822806025034781,0.017886218047135
"75",0.3222,1.50238283267331e-12,2.78843865811628e-06,0.000852338783259357,0.0183694597555301
"76",0.3225,1.62437098933223e-12,2.92468760547969e-06,0.000881871541483963,0.0188527014639258
"77",0.3228,1.77417793618288e-12,3.07841988460368e-06,0.000913980783442163,0.0193665740492369
"78",0.3231,1.92398488303348e-12,3.23215216372757e-06,0.000946090025400335,0.0198804466345474
"79",0.3234,2.09082935058411e-12,3.39571631267969e-06,0.000979594774235417,0.0204105476761681
"80",0.3237,2.27471133883512e-12,3.56911233146058e-06,0.00101449502994757,0.0209568771741021
"81",0.324,2.45859332708621e-12,3.7425083502416e-06,0.00104939528565975,0.0215032066720369
"82",0.3243,2.68419348636447e-12,3.93801195540254e-06,0.00108731777353348,0.0220839100401593
"83",0.3246,2.90979364564267e-12,4.13351556056335e-06,0.00112524026140717,0.022664613408281
"84",0.3249,3.16091933797837e-12,4.34144199033518e-06,0.00116479843561084,0.0232635100608051
"85",0.3252,3.43757056337212e-12,4.56179124471872e-06,0.00120599229614469,0.0238805999977355
"86",0.3255,3.71422178876598e-12,4.78214049910242e-06,0.00124718615667858,0.0244976899346667
"87",0.3258,4.05331475752042e-12,5.03040191387882e-06,0.00129191976474662,0.0251532797369861
"88",0.3261,4.39240772627476e-12,5.27866332865507e-06,0.00133665337281462,0.0258088695393047
"89",0.3264,4.76966925940213e-12,5.54259733305297e-06,0.00138330135727855,0.0264848186776581
"90",0.3267,5.18509935690334e-12,5.82220392707341e-06,0.00143186371813863,0.0271811271520503
"91",0.327,5.60052945440448e-12,6.10181052109379e-06,0.00148042607899871,0.0278774356264424
"92",0.3273,6.10923925535586e-12,6.41660411749987e-06,0.00153312831330664,0.028616792071666
"93",0.3276,6.61794905630682e-12,6.7313977139055e-06,0.00158583054761446,0.0293561485168875
"94",0.3279,7.18362265807183e-12,7.06593361797087e-06,0.00164077012640143,0.030118251374837
"95",0.3282,7.80626006065213e-12,7.42021182969715e-06,0.0016979470496678,0.0309031006455192
"96",0.3285,8.42889746323269e-12,7.77449004142368e-06,0.00175512397293422,0.0316879499162025
"97",0.3288,9.19061372897239e-12,8.17305844276366e-06,0.00181713577503888,0.0325208575783135
"98",0.3291,9.95232999471185e-12,8.57162684410339e-06,0.00187914757714347,0.0333537652404234
"99",0.3294,1.07988966028525e-11,8.99502606038725e-06,0.0019437704934772,0.034212047864402
"100",0.3297,1.17303135533945e-11,9.44325609161523e-06,0.00201100452404007,0.0350957054502494
"101",0.33,1.26617305039358e-11,9.89148612284281e-06,0.00207823855460286,0.0359793630360955
"102",0.3303,1.38001121358133e-11,1.03953793294455e-05,0.00215111122021608,0.0369165934050872
"103",0.3306,1.49384937676913e-11,1.08992725360486e-05,0.00222398388582938,0.0378538237740804
"104",0.3309,1.6203020084001e-11,1.14343487731967e-05,0.0022998996084028,0.0388193203634991
"105",0.3312,1.75936910847432e-11,1.200060804089e-05,0.00237885838793637,0.0398130831733442
"106",0.3315,1.8984362085486e-11,1.25668673085838e-05,0.00245781716747004,0.0408068459831906
"107",0.3318,2.06824244085727e-11,1.32029758204615e-05,0.00254334275188393,0.0418602432748768
"108",0.3321,2.23804867316589e-11,1.38390843323388e-05,0.00262886833629775,0.0429136405665617
"109",0.3324,2.42657224275262e-11,1.45142929449414e-05,0.00271793541016615,0.0439984801617395
"110",0.3327,2.63381314961745e-11,1.52286016582694e-05,0.00281054397348915,0.0451147620604104
"111",0.333,2.84105405648216e-11,1.59429103715967e-05,0.00290315253681204,0.0462310439590795
"112",0.3333,3.09386151667192e-11,1.67447348894201e-05,0.0030033981451783,0.0474136144917745
"113",0.3336,3.34666897686182e-11,1.75465594072441e-05,0.00310364375354468,0.0485961850244714
"114",0.3339,3.62719545265876e-11,1.83973355648626e-05,0.00320800514066234,0.0498136818058935
"115",0.3342,3.93544094406296e-11,1.92970633622762e-05,0.00331648230653137,0.0510661048360418
