"","X1","X2","X3","X4","X5"
"28",-7.568,2.97128919407943e-20,4.04369162926883e-11,5.10404515309128e-08,1.36422964755718e-06
"29",-7.552,3.32965659887603e-20,4.35225431304515e-11,5.42966683346301e-08,1.44479352371773e-06
"30",-7.536,3.68802400367263e-20,4.66081699682147e-11,5.75528851383475e-08,1.52535739987827e-06
"31",-7.52,4.04639140846923e-20,4.9693796805978e-11,6.08091019420649e-08,1.60592127603882e-06
"32",-7.504,4.68341448000644e-20,5.3962188465849e-11,6.49114404431772e-08,1.70323880420461e-06
"33",-7.488,5.32043755154366e-20,5.82305801257201e-11,6.90137789442895e-08,1.80055633237041e-06
"34",-7.472,5.95746062308087e-20,6.24989717855912e-11,7.31161174454019e-08,1.89787386053621e-06
"35",-7.456,6.59448369461809e-20,6.67673634454622e-11,7.72184559465142e-08,1.995191388702e-06
"36",-7.44,7.23150676615531e-20,7.10357551053334e-11,8.13207944476266e-08,2.0925089168678e-06
"37",-7.424,8.36322388266213e-20,7.69584807220263e-11,8.65033840238788e-08,2.21019774892433e-06
"38",-7.408,9.49494099916876e-20,8.28812063387179e-11,9.16859736001297e-08,2.32788658098083e-06
"39",-7.392,1.06266581156755e-19,8.88039319554098e-11,9.68685631763808e-08,2.44557541303733e-06
"40",-7.376,1.17583752321821e-19,9.47266575721017e-11,1.02051152752632e-07,2.56326424509384e-06
"41",-7.36,1.28900923486888e-19,1.00649383188793e-10,1.07233742328882e-07,2.68095307715032e-06
"42",-7.344,1.48980796595191e-19,1.08877258497847e-10,1.13791037037379e-07,2.82335427164302e-06
"43",-7.328,1.69060669703494e-19,1.17105133806902e-10,1.20348331745875e-07,2.96575546613573e-06
"44",-7.312,1.89140542811798e-19,1.25333009115956e-10,1.26905626454372e-07,3.10815666062844e-06
"45",-7.296,2.09220415920101e-19,1.33560884425011e-10,1.33462921162868e-07,3.25055785512115e-06
"46",-7.28,2.29300289028405e-19,1.41788759734065e-10,1.40020215871365e-07,3.39295904961386e-06
"47",-7.264,2.64872046534766e-19,1.53219135254103e-10,1.48322004331808e-07,3.56527203175197e-06
"48",-7.248,3.00443804041128e-19,1.64649510774141e-10,1.56623792792251e-07,3.73758501389007e-06
"49",-7.232,3.36015561547489e-19,1.76079886294179e-10,1.64925581252694e-07,3.90989799602818e-06
"50",-7.216,3.71587319053851e-19,1.87510261814217e-10,1.73227369713137e-07,4.08221097816629e-06
"51",-7.2,4.07159076560213e-19,1.98940637334255e-10,1.8152915817358e-07,4.2545239603044e-06
"52",-7.184,4.70069699196784e-19,2.14809200916988e-10,1.92039114287678e-07,4.4629645274934e-06
"53",-7.168,5.32980321833357e-19,2.30677764499721e-10,2.02549070401777e-07,4.67140509468239e-06
"54",-7.152,5.95890944469929e-19,2.46546328082455e-10,2.13059026515875e-07,4.87984566187139e-06
"55",-7.136,6.58801567106501e-19,2.62414891665188e-10,2.23568982629973e-07,5.08828622906039e-06
"56",-7.12,7.21712189743073e-19,2.78283455247922e-10,2.34078938744071e-07,5.29672679624939e-06
"57",-7.104,8.32782068221353e-19,3.00289254392535e-10,2.473775002763e-07,5.54871166301601e-06
"58",-7.088,9.43851946699633e-19,3.22295053537147e-10,2.60676061808528e-07,5.80069652978262e-06
"59",-7.072,1.05492182517791e-18,3.4430085268176e-10,2.73974623340757e-07,6.05268139654924e-06
"60",-7.056,1.16599170365619e-18,3.66306651826373e-10,2.87273184872986e-07,6.30466626331586e-06
